table,outcome,column,estimate,se,pvalue,n
table09,education_paper,all,-22.15365703135818,24.75605,.37085202,38033
table09,civic_paper,all,-19.81744412862106,4.6257305,.000018341761,38033
table09,ownmedical_paper,all,-6.751187400158385,2.7495642,.014074109,38033
table09,worka_paper,employed,.904292349868932,1.0506591,.38940847,36832
table09,worku_paper,employed,1.538346348812975,.90557069,.089364596,36832
table09,childcare_paper,employed,-6.293427636426335,4.2648335,.14003623,36832
table09,home_paper,employed,32.41593692326447,12.2985,.0083948243,36832
table09,homeproduction_paper,employed,20.26331217609237,5.8777995,.00056594348,36832
table09,homeown_paper,employed,32.19053501740913,12.890974,.012520039,36832
table09,shopping_paper,employed,-18.81103856131272,7.8712473,.016855612,36832
table09,othercare_paper,employed,-1.226871871234138,3.0657675,.68902081,36832
table09,leisure_paper,employed,128.0798486348579,28.558317,7.2964331e-06,36832
table09,tv_paper,employed,43.63079427743576,19.308121,.023839118,36832
table09,socializing_paper,employed,17.50813367879172,6.1651139,.0045131664,36832
table09,sleeping_paper,employed,43.02228729208755,7.984735,7.1219503e-08,36832
table09,ep_paper,employed,-23.821498413207,8.2587614,.0039217127,36832
table09,otherleisure_paper,employed,47.74013168883485,27.168793,.078889199,36832
table09,other_paper,employed,-56.64499686034677,30.772255,.065653592,36832
table09,education_paper,employed,-21.46093755330518,26.018724,.40946999,36832
table09,civic_paper,employed,-21.34881129099472,5.9778171,.00035516094,36832
table09,ownmedical_paper,employed,-6.548091845488482,3.4554391,.058091071,36832
