TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20040111030672,1,18,1,18,35,0,0,0
20040111030672,2,20,2,20,35,0,0,0
20040111030672,3,22,2,22,8,0,0,0
20040111030672,4,22,1,22,6,0,0,0
20040111030675,1,18,2,18,20,0,0,0
20040111030675,2,24,2,24,43,0,0,0
20040111030675,3,24,1,24,41,0,0,0
20040111030675,4,25,2,25,16,0,0,0
20040111030675,5,25,1,25,14,0,0,0
20040111030689,1,18,2,18,25,0,0,0
20040111030689,2,25,1,25,36,0,0,0
20040111030689,3,30,2,30,32,0,0,0
20040111030689,5,22,1,22,2,0,0,0
20040111030689,6,30,1,30,11,0,0,0
20040111030698,1,18,1,18,33,0,0,0
